superevent_id,preferred_event,t_0,pipeline,search,group,far,skymap
S250724ap,G583334,1437371323.567216,gstlal,AllSky,CBC,4.776468812523394e-06,./skymaps/G583334_skymap.fits
S250724q,G583280,1437361088.668945,pycbc,AllSky,CBC,7.804832955288848e-06,./skymaps/G583280_skymap.fits
S250724j,G583266,1437359199.248548,gstlal,AllSky,CBC,9.137941263261118e-06,./skymaps/G583266_skymap.fits
S250724f,G583257,1437358459.082795,gstlal,AllSky,CBC,1.465898631562481e-05,./skymaps/G583257_skymap.fits
S250723cb,G583204,1437333511.785156,spiir,AllSky,CBC,2.071914423140697e-05,./skymaps/G583204_skymap.fits
S250723bb,G583111,1437301969.986816,gstlal,AllSky,CBC,8.557211883373148e-06,./skymaps/G583111_skymap.fits
S250723an,G583075,1437294741.318073,MBTA,AllSky,CBC,2.007846e-05,./skymaps/G583075_skymap.fits
S250723al,G583067,1437293716.426758,pycbc,AllSky,CBC,1.577057723936368e-05,./skymaps/G583067_skymap.fits
S250723ai,G583064,1437293309.424316,pycbc,AllSky,CBC,2.005056518140358e-06,./skymaps/G583064_skymap.fits
S250722az,G582919,1437221035.634399,gstlal,AllSky,CBC,4.903292343405433e-06,./skymaps/G582919_skymap.fits
S250722y,G582830,1437198455.304688,pycbc,AllSky,CBC,1.454410348924686e-05,./skymaps/G582830_skymap.fits
S250721m,G582543,1437104327.380254,MBTA,AllSky,CBC,1.12492e-05,./skymaps/G582543_skymap.fits
S250721l,G582537,1437103966.211176,gstlal,AllSky,CBC,1.107145638900923e-05,./skymaps/G582537_skymap.fits
S250721e,G582526,1437101829.776611,gstlal,AllSky,CBC,6.871398385519335e-06,./skymaps/G582526_skymap.fits
S250720br,G582499,1437085732.37794,MBTA,AllSky,CBC,1.980307e-05,./skymaps/G582499_skymap.fits
S250720bo,G582489,1437083486.351074,pycbc,AllSky,CBC,2.071606656285901e-05,./skymaps/G582489_skymap.fits
S250720af,G582371,1437053522.146765,gstlal,AllSky,CBC,4.867835181392685e-06,./skymaps/G582371_skymap.fits
S250720j,G582312,1437012926.464454,MBTA,SSM,CBC,3.014051e-05,./skymaps/G582312_skymap.fits
S250719bh,G582165,1436961631.293935,MBTA,AllSky,CBC,2.267793e-05,./skymaps/G582165_skymap.fits
S250719ap,G582132,1436954453.680176,spiir,AllSky,CBC,6.434974693547701e-06,./skymaps/G582132_skymap.fits
S250719ak,G582113,1436947262.16832,gstlal,AllSky,CBC,1.806708234595912e-05,./skymaps/G582113_skymap.fits
S250718ep,G582007,1436916021.282921,MBTA,AllSky,CBC,1.607177e-05,./skymaps/G582007_skymap.fits
S250718ej,G581985,1436912923.089844,pycbc,AllSky,CBC,1.133886385148031e-05,./skymaps/G581985_skymap.fits
S250718ee,G581970,1436910855.288574,pycbc,AllSky,CBC,1.1342664906491e-05,./skymaps/G581970_skymap.fits
S250718ea,G581950,1436906937.959064,MBTA,AllSky,CBC,2.200626e-05,./skymaps/G581950_skymap.fits
