mass_1_source,mass_2_source,redshift,luminosity_distance,theta_jn,ra,dec,psi,phase,geocent_time,a_1,a_2
1.2804514522231847,1.198247299320527,1.7051485308429153,13101.60470555852,0.07401024571242734,3.237531669238977,0.44442677130277836,2.270854020416921,5.303601790081976,1579946526.2264383,0.0,0.0
1.3257564311687535,1.120161788161586,2.771388359008497,23651.291145838306,0.04382017450606117,3.553111698684456,0.37201009368876914,0.17874805436251068,3.7190221732829394,1587925307.644467,0.0,0.0
1.4478521708976653,1.3965169105305055,1.3178784543547843,9543.965106014102,0.0676563513204375,2.9535889761636485,1.0787672801652899,2.7200861605737705,2.364043462948598,1596330630.1559038,0.0,0.0
1.4140740010724757,1.234578223329607,4.697218213273905,44308.525456226336,0.046786492649108724,2.918499157240069,0.02431675627483123,2.3955749937033874,5.693446911005375,1581759298.7966552,0.0,0.0
1.413419664963498,1.2664789406856016,2.110448587359661,17003.059701869515,0.0878760243278293,1.1647105087929848,0.9034148214010917,0.31854847102227246,1.7450093956910133,1608961682.4594395,0.0,0.0
1.3084691734619551,1.1186780675710701,1.525709487309233,11429.383363491732,0.06080242126419577,1.249550657740115,-0.3463135166170804,2.173457980955088,5.959673762662636,1592649195.1028268,0.0,0.0
1.4177882114161828,1.3790097888571846,1.5024724382570491,11215.691096186645,0.026628782826419877,2.5236145135967263,-1.2285035266363276,1.8572322422279854,0.3720936009580065,1580857088.3037148,0.0,0.0
1.336266718596447,1.1873998675299136,0.5797350708537055,3487.9770131134715,0.06504601091946786,1.0266271265262308,0.04879309078094758,2.305072479573158,1.9397528059939233,1599225351.249298,0.0,0.0
1.3282029292737823,1.266892251913761,4.117862758030174,37940.55418103221,0.06367411399030252,5.357689328638183,-0.6983201034747951,0.152291120363177,0.2657423931577257,1596353524.8577175,0.0,0.0
1.3869824851091164,1.1098985580579515,6.302040715642783,62433.3325932366,0.04412201118457122,4.751263450209749,-1.335318522864163,2.8475429685873683,4.613246569732887,1602021841.9397914,0.0,0.0
1.4472325949687501,1.246944819122815,1.4648385616406223,10871.082913896715,0.04515664126802569,5.806628519369939,0.8506058652753681,0.4540345562927462,0.10787796608714662,1604269903.69276,0.0,0.0
1.3532868558572728,1.178254107885194,1.4974988673829364,11170.04305077682,0.04269389724313033,6.241389571949937,-0.18406684235701892,0.4753862050277299,2.0453180032469813,1592435558.3951972,0.0,0.0
1.3226654881682345,1.3205983697468084,2.252256864804066,18402.740455856125,0.02414059007178726,4.575830602722423,-0.5361499854650287,0.8617980417441529,3.231465101800133,1605597249.7036471,0.0,0.0
1.445542518849242,1.340377778462395,1.898738717961877,14945.430462325507,0.04386989867434209,3.6295283939027896,-0.9554157694490677,1.4925818032792195,5.5251072554516805,1588304815.5690649,0.0,0.0
1.4725367763986605,1.3648790510776023,1.926746759242281,15215.291821180543,0.05834696618698806,3.1350046627364803,0.5415283326878472,2.404946417021272,2.1982906907680375,1587202680.374668,0.0,0.0
