z,theta_v,Ep_obs,Fp,T90,snr_ETS_15,snr_ETN_15,snr_network,detected
1.7051485308429153,4.240474720048283,102.82860903859992,12.300127285344216,0.1733658044347575,5.146160813185592,2.792167812376823,5.85484177477412,False
2.771388359008497,2.510711056724072,443.6539143788812,2.5226080383363083,0.3805899395762987,4.8760340113609475,4.208062827178817,6.440768621634604,False
1.3178784543547843,3.876423387915423,367.8076701295926,1.09828037194183,0.7293780752828414,5.605680168600579,6.964115387390867,8.939941458507212,True
4.697218213273905,2.68066856701378,470.5793966673919,0.6925137270682721,1.494197094259075,3.6115083201156124,2.794524169131974,4.566438182886859,False
2.110448587359661,5.034925314373566,78.6959184836552,3.045864894627312,0.1190493137681679,2.1713974171387016,5.443913890208742,5.86098670764269,False
1.525709487309233,3.483722122614909,359.8510498294769,0.9439208231888696,0.8109882760249574,6.717281925539161,4.175194068368505,7.909116384003629,False
1.5024724382570491,1.5257168695243064,2771.671977915575,5.144705460512276,1.2371892840920875,5.910740726193922,7.439177727404647,9.501485209808035,True
0.5797350708537055,3.726861899847376,149.2742846394703,2.5427235763224374,1.3706484076892245,15.446737287479635,12.374356049122014,19.792078730109587,True
4.117862758030174,3.648257995879244,203.393362572346,1.42281609762238,0.3687943799184779,5.013113613827449,5.017847799244346,7.092961626959745,False
6.302040715642783,2.528005024504945,275.0490158703657,4.242989094591454,0.1842067393464339,3.375018731613635,3.587999741571214,4.925900281599091,False
1.4648385616406223,2.587284961644154,222.3394186988909,3.308723591282561,0.6181331303873551,9.593390846657256,10.160019332389542,13.973515691165787,True
1.4974988673829364,2.4461801229965885,1020.129463756762,0.9304983903367796,1.9178351396067248,5.507857560414537,3.216091155354959,6.378066887809187,False
2.252256864804066,1.383153926068827,371.2531584668086,11.161466683836766,1.1861985281019292,4.707125710292579,3.4446324482968587,5.832883091264304,False
1.898738717961877,2.513560041706367,353.3666896282221,5.943869895267081,0.94513845683295,5.877655878069286,6.606466766415291,8.842637714887575,True
1.926746759242281,3.343034909906937,185.5301440596849,2.447479106504715,0.703217310765493,5.376132030266481,3.1109310127550676,6.211335393695824,False
1.866868554988065,1.7454604653160632,910.1674772646976,0.6550985902767087,1.9776253597423177,5.3146232052010385,0.9518561556738544,5.399189749800943,False
3.262532926878324,2.513560041706367,132.83686444642086,3.5553294987412163,0.1366017805598215,3.81928207639545,5.29385038325052,6.527768949596579,False
1.688841465272791,3.530417203361524,200.8172839750224,1.179937967740886,1.0172976757168355,5.41361451077093,3.56806989500601,6.483698392651973,False
2.035097576975194,2.6506795130703704,413.8741879682775,0.6757205940133882,1.319423431989767,6.972162291585571,7.1786814930977085,10.007223141289062,True
2.961214870978672,1.857400494253978,448.4250716782301,12.803940676307592,0.0941818162812373,3.8108745336319014,4.376471186749571,5.803125430277495,False
1.667621199574377,3.318049468374064,828.5934920590236,3.0238782954262984,0.3256378785198769,8.142967304155373,6.334923005200814,10.316935882245557,True
0.9126499229696516,4.511402358339206,616.0926000092925,1.3789829516085557,1.0069035994525557,8.99929017364329,6.596308341437076,11.157889915425095,True
1.717992701458674,2.6191855934300565,424.5407642350317,4.164757671269164,0.7596968132126715,5.700647771369967,1.0579527742443025,5.7979866407018035,False
1.2796900336384436,3.2442119291785785,225.4390852246786,1.325353159026933,1.1183457520669666,10.488532262554337,11.209148422693714,15.351036361907953,True
2.570042554145564,2.110506538614413,1224.4607525220251,1.5076729179668338,1.4470303377159828,3.936744857139059,2.453094410578013,4.638494611123303,False
1.995992484758728,3.876423387915423,132.88720120032596,4.072240917885252,0.1247326791598449,4.220060572969955,3.009032183718094,5.182970762235379,False
0.956903283827406,2.4708080135042443,953.87849766828,7.657404231608851,0.8679785420331394,6.705368495363371,6.688070653341682,9.470599543994133,True
2.114386191594829,2.513560041706367,436.5800004502961,3.1244786315264625,0.7413412670338156,3.4055147497999125,5.4246809981932715,6.4050522748267955,False
2.402322500756183,2.722844684830085,234.74647518888304,2.9792646438180177,0.240221290603799,6.8915030787270695,5.777593700739959,8.99296411951781,True
1.11278038921898,1.2861401909027317,913.0479982349736,0.6636369131117761,1.7977602320576511,13.3242659778984,14.268519614220295,19.522466950443793,True
1.435991436660582,3.970758045604565,258.09257001720624,1.314605663990482,0.3629214910213129,9.248984479780344,10.468267610361226,13.968834621018162,True
1.3611946689196683,2.755850039136837,2331.783214925709,2.601508952332228,0.5229292640904223,6.172901085993243,7.237191395224236,9.512184139752778,True
2.328777847172688,5.4596440474564405,318.8440059093475,2.4367454625358054,0.4653296962378195,4.7382545660146675,5.789230230641239,7.481058948820632,False
1.1765315788540454,0.9058054886517384,1573.054013136415,2.050650618128734,0.2488236410521841,13.446172865529231,13.227858448561923,18.862020142733535,True
1.2561203427923608,2.2924576991472327,1616.9665517683038,2.646368921440674,0.6038578146961521,6.114703103644263,6.986362663607881,9.284333972513645,True
1.4955069561963152,3.837947455586922,1013.1440141262296,5.398822313903193,0.0995949696575942,10.79414981291658,11.359631526879811,15.670191403112113,True
1.193264287203748,2.110506538614413,633.6512471262827,3.5006752506366983,0.5069649773744422,11.415830994226692,12.7734075780288,17.131291207704994,True
0.406999498830241,2.6296743561068863,1175.4431933298033,93.59340539409422,0.1752618502650522,19.13763645125619,16.830982821329002,25.48590025234191,True
0.9989230869277153,3.7833873690755975,1542.0875132020972,2.056285896687644,0.5536538142705832,3.930698481018244,7.007399034320264,8.034552369290507,True
1.2731320462805256,3.1326213175205244,880.7543826861012,1.1460622264986755,1.336374483399981,8.153131126705821,8.84676415975986,12.030743254997628,True
2.7292773092812728,3.060675733264951,135.61694741914002,11.35208445322073,0.2593297977266537,6.023623434820761,6.195512636766505,8.641088827043461,True
1.6222873969114304,3.287517088029101,770.3542643349689,6.121703038332968,0.1011488003278621,3.7527643890280755,5.890242130885081,6.984138667009045,False
1.6867977955082545,5.227954339339577,171.96251743205195,1.807688725305284,0.9034213953719896,5.82063062241642,1.6941605699615017,6.06217130073244,False
0.6695937024874354,5.194357993468152,515.7223008896134,1.0739856391596063,1.687904784992967,20.669309548288496,19.447948648863676,28.380328818599132,True
0.4843323370148562,5.034392691083927,510.0358207621359,9.349819499491115,0.1658297201445112,15.867114421156877,8.888005216991692,18.186862203012264,True
1.0850844087343012,2.376597773571701,322.9685525583501,84.80241084184884,0.070727318387333,7.833698734337436,5.044495450701991,9.317390740572868,True
1.6760914088757146,3.218744261265729,841.3109645636455,1.7528255974385478,0.5466284850128919,4.234779942939388,6.226836198653682,7.530395089899704,False
1.7113329153532453,4.068513194951604,344.6644801842969,0.8892266230406591,1.4958233290856846,5.217749629910757,2.267911258182063,5.689317417355336,False
3.270790237349771,1.41149491352741,714.0944264854793,3.705581197244317,0.1078770210522832,6.142807245108136,6.540224595732506,8.97265950614295,True
1.3205624034837906,1.41149491352741,4039.49839660382,4.466092334903111,0.3014471115780571,6.823679146764511,8.261096779558713,10.714864306150787,True
1.4178922434356434,3.260549626948753,797.9343055871027,1.2427481823480284,1.4287489516646985,3.9571088278711466,7.096023430004151,8.124792846268983,True
1.201099969806358,3.39991777562322,145.16605115444875,1.4919318573069535,1.241062865047501,6.379457800498503,3.509825305951264,7.281233103440453,False
1.8793027990072293,2.3936225929050843,423.2613241545188,1.9614222649384816,1.0479220043369937,4.763062844882909,6.690650723444312,8.212890768020111,True
0.923966182032684,3.7825131766240654,191.52962753547044,11.653257740564976,0.2686459388812054,7.048174985754498,5.501836355675498,8.941307170344169,True
2.1568309889537423,2.4461801229965885,158.6126436156223,8.42578472275266,0.3155313458256104,3.9817119128712206,3.0781235590831915,5.03277998745063,False
1.1920946432715969,2.8063919198999643,1675.2725097346731,2.486002949631323,0.8931476969994719,9.837200121191435,7.246642034958832,12.2181965529779,True
