network_SNR redshift mass_1 mass_2 luminosity_distance theta_jn ra dec psi phase geocent_time a_1 a_2 err_mass_1 err_mass_2 err_luminosity_distance err_theta_jn err_dec err_ra err_psi err_phase err_geocent_time err_a_1 err_a_2 err_sky_location
111.7002224644959 8.894E-02 2.245E+00 1.925E+00 4.201E+02 6.425E-01 6.175E+00 -2.221E-01 3.664E-01 3.738E+00 1.606E+09 8.957E-04 7.221E-02 1.719E-04 1.397E-04 1.218E+02 4.220E-01 7.013E-02 5.656E-02 8.280E-01 1.626E+00 1.191E-03 1.774E-01 2.144E-01 1.214E-02
21.292621079224467 9.354E-02 1.394E+00 1.366E+00 4.432E+02 1.451E+00 2.502E+00 2.343E-01 3.148E-01 5.196E-01 1.580E+09 9.903E-02 9.668E-02 1.954E-04 1.886E-04 6.992E+01 8.021E-02 1.829E-02 6.884E-02 7.438E-02 1.894E-01 1.009E-03 2.399E+00 2.462E+00 3.551E-03
501.27820643399025 1.694E-02 1.835E+00 1.382E+00 7.602E+01 2.665E+00 4.312E+00 -7.764E-01 2.922E+00 4.572E+00 1.598E+09 1.606E-02 1.118E-02 1.235E-05 8.476E-06 3.409E+00 8.361E-02 8.591E-03 8.148E-03 5.516E-01 1.126E+00 7.868E-05 2.095E-02 2.963E-02 1.174E-04
95.01535847705065 3.339E-02 2.117E+00 1.154E+00 1.517E+02 1.407E+00 4.531E+00 2.921E-01 6.321E-01 3.461E+00 1.580E+09 6.512E-02 3.863E-02 2.479E-02 1.199E-02 3.980E+00 3.308E-02 1.687E-02 1.033E-02 3.293E-02 5.485E-02 4.089E-04 1.234E-01 2.499E-01 3.594E-04
57.637674437038676 5.424E-02 1.434E+00 1.169E+00 2.501E+02 2.057E+00 4.837E+00 5.159E-01 5.356E-01 5.274E+00 1.608E+09 3.090E-02 2.057E-02 9.631E-05 7.378E-05 3.890E+01 9.770E-02 2.260E-02 3.075E-02 1.045E-01 2.171E-01 5.103E-04 2.662E-01 3.417E-01 1.892E-03
159.3585525224446 4.975E-02 1.554E+00 1.205E+00 2.287E+02 7.615E-01 1.456E+00 1.470E+00 1.830E+00 3.701E+00 1.601E+09 5.088E-03 2.559E-02 4.369E-05 3.130E-05 1.209E+01 8.879E-02 5.132E-02 4.797E-01 4.312E-01 3.130E-01 9.086E-04 8.111E-02 1.106E-01 7.319E-03
126.03681540998078 9.790E-02 2.296E+00 1.913E+00 4.652E+02 2.956E+00 4.908E+00 -1.051E+00 5.557E-02 6.205E+00 1.592E+09 3.064E-02 9.200E-02 1.011E-03 8.109E-04 5.504E+01 4.686E-01 1.840E-02 1.370E-01 1.236E+02 2.475E+02 1.184E-03 1.279E-01 1.601E-01 3.264E-03
182.12195892308594 8.161E-02 2.421E+00 1.199E+00 3.836E+02 5.101E-01 5.634E+00 -1.154E+00 5.034E-01 3.516E+00 1.580E+09 5.174E-02 6.253E-02 1.852E-02 8.003E-03 3.968E+01 9.205E-02 1.530E-01 2.320E-01 4.011E-01 6.271E-01 1.507E-03 6.223E-02 1.388E-01 3.789E-02
70.46735553928238 7.787E-02 1.749E+00 1.250E+00 3.650E+02 7.513E-01 5.424E+00 -1.368E-01 2.421E+00 4.901E+00 1.578E+09 4.203E-02 5.825E-02 6.486E-05 4.150E-05 7.816E+01 3.173E-01 3.016E-02 2.961E-02 5.260E-01 9.888E-01 5.876E-04 1.227E-01 1.849E-01 2.759E-03
212.97589510985006 2.957E-02 1.674E+00 1.564E+00 1.339E+02 1.808E+00 5.090E+00 8.796E-01 2.618E+00 5.625E+00 1.600E+09 3.067E-02 5.597E-02 7.149E-05 6.488E-05 4.743E+00 4.163E-03 8.647E-02 8.185E-02 7.263E-02 1.254E-02 6.179E-04 1.738E-01 1.889E-01 1.365E-02
91.61400186229325 9.760E-02 2.106E+00 1.567E+00 4.637E+02 1.907E+00 8.014E-01 7.924E-01 4.802E-01 5.562E+00 1.605E+09 1.355E-03 9.794E-02 6.724E-02 4.716E-02 1.554E+01 1.080E-02 2.864E-01 2.664E-01 1.845E-01 5.422E-02 6.467E-04 3.108E-01 4.314E-01 1.663E-01
339.24975377780095 2.484E-02 2.275E+00 1.869E+00 1.121E+02 2.132E+00 5.134E+00 -7.172E-01 2.203E+00 3.938E+00 1.596E+09 8.875E-02 2.094E-02 4.004E-05 3.060E-05 2.657E+00 2.641E-02 3.283E-02 3.839E-02 7.329E-02 6.766E-02 4.758E-04 4.402E-02 5.607E-02 2.912E-03
125.63805096977218 2.407E-02 1.691E+00 1.305E+00 1.086E+02 1.612E+00 5.367E+00 -2.692E-01 2.939E+00 6.031E+00 1.587E+09 5.101E-02 5.063E-02 5.325E-05 3.780E-05 6.918E+00 3.516E-03 6.695E-02 5.294E-02 8.636E-03 2.334E-02 8.247E-04 9.425E-02 1.294E-01 6.270E-03
152.93179108629735 6.444E-02 2.344E+00 2.081E+00 2.993E+02 1.118E+00 4.547E+00 6.336E-01 1.754E-01 1.010E+00 1.594E+09 2.646E-02 3.319E-02 1.639E-04 1.373E-04 2.384E+01 3.354E-02 2.760E-01 1.985E-01 1.800E-01 8.155E-02 1.280E-03 1.745E-01 2.022E-01 8.779E-02
72.67962943041577 3.820E-02 1.624E+00 1.350E+00 1.742E+02 1.755E+00 5.715E+00 -8.174E-01 1.646E+00 4.887E+00 1.596E+09 3.592E-02 7.671E-02 9.086E-05 7.098E-05 8.388E+00 4.193E-02 1.668E-02 1.246E-02 4.074E-02 6.781E-02 3.506E-04 2.250E-01 2.820E-01 3.526E-04
56.19097083190625 6.654E-02 1.308E+00 1.144E+00 3.095E+02 2.011E+00 3.025E+00 1.611E-01 2.154E-01 4.746E+00 1.600E+09 7.533E-02 9.760E-02 1.169E-04 9.775E-05 3.284E+01 6.389E-02 5.610E-02 4.872E-02 5.825E-02 1.339E-01 9.016E-04 4.236E-01 4.987E-01 8.144E-03
344.9032648860464 2.073E-02 2.410E+00 1.479E+00 9.332E+01 1.417E+00 5.096E+00 5.246E-01 1.979E+00 4.945E-01 1.595E+09 6.514E-03 3.069E-02 1.448E-02 8.067E-03 2.918E+00 1.892E-03 3.984E-02 8.080E-02 4.850E-02 1.539E-02 6.535E-04 4.968E-02 8.600E-02 8.577E-03
90.42915756852368 8.847E-02 2.491E+00 2.244E+00 4.177E+02 1.080E+00 1.675E+00 1.423E+00 1.981E+00 2.607E+00 1.597E+09 3.327E-03 8.806E-02 1.307E-01 1.153E-01 1.083E+02 9.728E-02 1.405E-01 8.992E-01 8.539E-01 2.064E-01 2.386E-03 5.200E-01 5.815E-01 5.818E-02
