mass_1_source,mass_2_source,redshift,luminosity_distance,theta_jn,ra,dec,psi,phase,geocent_time,a_1,a_2
1.3747042737710111,1.3175562128945935,1.7051485308429153,13101.60470555852,0.07401024571242734,1.2446841355430567,-0.00220867272385323,0.5820439874002199,0.6158004450050406,1591550772.0935192,0.0,0.0
1.4670726870767223,1.3882919684290624,2.771388359008497,23651.291145838306,0.04382017450606117,3.5520747492284346,-1.350321721309997,0.8753830000559554,0.27687397396722996,1603245256.9329512,0.0,0.0
1.3089276738745739,1.3089261962749,1.3178784543547843,9543.965106014102,0.0676563513204375,2.914973783883443,-1.3803669968721883,0.6870971019646597,1.16412878377621,1605408110.393683,0.0,0.0
1.4721291533956653,1.399069125623762,4.697218213273905,44308.525456226336,0.046786492649108724,6.1072896056411246,-0.2899886114311867,0.5744018260345436,3.4009004082842162,1580225596.2289896,0.0,0.0
1.3788304039227368,1.2877473052658543,2.110448587359661,17003.059701869515,0.0878760243278293,3.823489618824504,1.0205354514945832,2.594047459411629,4.05624964506869,1594469036.2494948,0.0,0.0
1.2882924076468785,1.2880843221786769,1.525709487309233,11429.383363491732,0.06080242126419577,2.1960133018615413,-0.573584584814728,0.8975767956384618,0.2864199946485365,1606290828.4732733,0.0,0.0
1.3517766044409432,1.1578047779807983,1.5024724382570491,11215.691096186645,0.026628782826419877,0.7168849592189857,0.27207156577714453,2.91264526207374,5.943710396097468,1589726326.394719,0.0,0.0
1.2793941223683125,1.174757395073827,0.5797350708537055,3487.9770131134715,0.06504601091946786,0.950311852064848,-0.5893830384553489,3.047114046546326,5.291481120785036,1603652405.2303593,0.0,0.0
1.3582822599335747,1.2388451991699019,4.117862758030174,37940.55418103221,0.06367411399030252,1.4157080237284123,-0.36469034436406866,1.7946676956406378,1.8636711898155147,1581707444.023445,0.0,0.0
1.248277833203091,1.2028926668798239,6.302040715642783,62433.3325932366,0.04412201118457122,1.5768700391252755,0.769928880199086,0.4492512764217389,0.48498355581642366,1606989817.6907692,0.0,0.0
1.4619083892029399,1.3096801329562118,1.4648385616406223,10871.082913896715,0.04515664126802569,5.344578316678458,0.4754323437116556,1.1766780098162544,1.0674319623297233,1601188102.990244,0.0,0.0
