bkg_rate_0,bkg_rate_1,bkg_rate_2,bkg_rate_3,bkg_rate_4,bkg_rate_5,bkg_rate_6,bkg_rate_7,bkg_rate_8,flat_0,flat_1,flat_2,flat_3,flat_4,flat_5,flat_6,flat_7,flat_8,err_bkg_rate_0,err_flat_0,err_bkg_rate_1,err_flat_1,err_bkg_rate_2,err_flat_2,err_bkg_rate_3,err_flat_3,err_bkg_rate_4,err_flat_4,err_bkg_rate_5,err_flat_5,err_bkg_rate_6,err_flat_6,err_bkg_rate_7,err_flat_7,err_bkg_rate_8,err_flat_8,corr_bkg_rate_0_flat_0,corr_bkg_rate_1_flat_1,corr_bkg_rate_2_flat_2,corr_bkg_rate_3_flat_3,corr_bkg_rate_4_flat_4,corr_bkg_rate_5_flat_5,corr_bkg_rate_6_flat_6,corr_bkg_rate_7_flat_7,corr_bkg_rate_8_flat_8,nllh,time,dt,exp
0.0644316720459877,0.04978512727165841,0.030573630860756824,0.02729610384563488,0.02214697926098997,0.019687458362675853,0.015180504300574377,0.010568466155847708,0.007419613996726595,0.024341512823263255,0.0,0.15277221605500008,0.13634459005678629,0.11061092198777264,0.09828719402786316,0.24117895945259382,0.05265518741076313,0.036887228621198656,0.000275860857904809,0.08356267681961718,0.0002424893036588971,0.09476194691989538,0.00019002666774893637,0.12195339436656837,0.0001795501950829696,0.1290459239645183,0.00016173544678721322,0.1437954354680094,0.00015248775012391037,0.15048189997196623,0.00013390103853608957,0.17220416056567275,0.00011172547939598247,0.20404224258626857,9.361245792340994e-05,0.2465719841065787,6.485748701020883e-08,0.0030781354812079976,-0.00019763842815444707,0.0042833304640772715,-0.0036736231448132347,0.0005967951284537664,2.3764707698507395e-07,-0.0038708028355201245,-0.002449218552638527,200850.2670128627,785996557.89434,-20.480000019073486,54.49434006214142
0.06437034152882164,0.04974678302607131,0.03047494076953745,0.027312999901724762,0.022096481898586654,0.019639921484929185,0.015137001921686193,0.010538266220922236,0.007397552560468595,0.04648493812903035,0.0,0.15228549259832513,0.13646526718302573,0.11035093620559691,0.09805678407084113,0.33599179846717553,0.0525110114570436,0.036777618043010094,0.00027317536357164145,0.08276187191888283,0.0002401499992218043,0.09389596242166566,0.00018796325161173677,0.12102732635546816,0.00017794337175135923,0.12747751911616598,0.00016005242292600237,0.14275609273399117,0.00015089369425024514,0.14883943415028142,0.00013247019146105327,0.17092899032855566,0.0001105350427239148,0.20204677358306086,9.260760329764795e-05,0.24422800107341433,-1.7773079276879273e-06,0.0029625327539601685,-0.001650751591424483,-0.0005052168270292636,-0.001617860211587839,-0.0019961327688426136,-4.4909921384572745e-08,-0.0076653418816257,-0.0036904740889984874,202141.86483369477,785996558.9183401,-19.455999970436096,55.51834011077881
0.06418225824022049,0.04971667431668412,0.030514972634844977,0.027295474808533688,0.022074270740267462,0.019597608548912803,0.015097362733930003,0.01052838343802694,0.007383063640994492,0.049631617667175054,0.0,0.1524991130305521,0.1363802705679797,0.11024100860103798,0.09785511276790865,0.37498617559841974,0.41616869797619915,0.036703230256529946,0.00027029440272804674,0.08209983217136518,0.00023789592593834484,0.09327222889811242,0.00018637647352499326,0.11966853726424735,0.0001762689065546782,0.12643118021860242,0.0001585170233033197,0.14147365124333766,0.00014936316801393335,0.1473071188876725,0.000131093212099649,0.16971641397842638,0.00010947844600986955,0.20289531249410134,9.16744461867237e-05,0.24308696395711613,-2.3145298648910567e-08,0.005413366043623962,-0.0031919510771867333,-0.0016497346099876055,-0.0019723830427267153,-0.005498343083147881,5.271402264660289e-08,0.008120750115501774,-0.0008454152731812826,203518.31964333984,785996559.94234,-18.432000041007996,56.54234004020691
0.06414731536575281,0.04963616633459268,0.030535798598794645,0.0272478079255275,0.022010252843650498,0.019584385725246508,0.01510384137213173,0.010549019369904933,0.007393728718634251,0.07648509265561608,0.0,0.15259305518790703,0.13611217965695083,0.10991856647140451,0.12554711613379996,0.31634894314644096,0.10650449427558652,0.03675570858241518,0.0002678063811010689,0.08146803083670569,0.0002355775573164008,0.0924414973215313,0.00018477430347833718,0.11874369093575826,0.00017453999653264983,0.1255944966819862,0.00015687246231172076,0.14053786827072998,0.00014797923048454837,0.14621128052713936,0.0001299498597038516,0.16778215878798822,0.0001086055072932201,0.19867058106279792,9.09210592882471e-05,0.24149412703621614,6.477048105249659e-08,0.0035347948176995933,-0.0022429585878730486,0.0005621949006353715,-0.001394434501259757,-0.006174446338468475,-2.8588279884488706e-09,-0.007023156973738126,-0.0010431632703875612,204928.5486808771,785996560.9663401,-17.407999992370605,57.5663400888443
0.06407541129184896,0.04950027286242593,0.030448736454736752,0.02719555276505551,0.02194312512191471,0.01958274578824498,0.015096975708497183,0.010520673336424551,0.007373295426300207,0.06685884083788693,0.0,0.20733670366702672,0.13585238624476012,0.1095848766563621,0.0977822486029342,0.24251732459030972,0.052420248140237546,0.03665614220702066,0.00026530726165194013,0.08074774104019683,0.0002331900015687325,0.0917182709624621,0.00018288931361671755,0.11816438339944701,0.00017284199722641158,0.124535667049994,0.00015525871974099315,0.13932859398091899,0.00014667447940131968,0.14485817203888807,0.00012878022602997628,0.1658978758438551,0.00010750710199981296,0.19693385306424102,8.999916794176812e-05,0.2383479471575896,-2.468928081822817e-08,0.0035555223922374615,1.941357476266807e-06,0.0013467431705047619,-0.0020529001744245675,-0.006039353895876283,4.819313690127095e-06,-0.006205688211932655,-0.0036120273003447914,206139.99145383702,785996561.9903401,-16.383999943733215,58.59034013748169
0.06405442968300978,0.049440303656113654,0.030442614616149617,0.027074401920416404,0.021813420782520257,0.0195297447711977,0.01495640149452058,0.010546192118173741,0.007375138996263627,0.07303411327399617,0.0,0.14260584426806408,0.13527460858730156,0.10893489896878056,0.2713547684323322,0.2565155328553193,0.052549100330328495,0.03666613482832121,0.00026297572106752484,0.0801071154940132,0.0002310397096660022,0.09110382702769092,0.00018129277543155946,0.11701867712285657,0.00017097072898402643,0.12358160603125663,0.00015346375414546445,0.13833501692648517,0.00014520758021760476,0.1447310527227425,0.00012707356026483058,0.165454491382549,0.00010670944798767704,0.19477114823426273,8.923455066840486e-05,0.2362352389808919,-1.941599432876674e-08,0.004821804906084726,-8.631020404433245e-06,-0.001771784253094064,-0.0018220927171401036,-2.1061751441111006e-08,-3.906720001080833e-06,-0.006792919717577812,-0.004786057808122946,207303.11907122875,785996563.01434,-15.360000014305115,59.61434006690979
0.06407548965168419,0.04939509851317125,0.030412744441834616,0.02693879566801636,0.02172623076107331,0.019425032169672764,0.0148473742688006,0.010505004319964642,0.007343818875042796,0.02930769025425954,0.0,0.14162509983043392,0.13460149267591226,0.10849548935098093,0.3181608548413708,0.07406746492106735,0.052341676325376195,0.5102203746453171,0.0002607885620585539,0.07934114372296451,0.00022897665343780212,0.09039445726479853,0.00017966792937086943,0.11610455881361934,0.00016909610633523812,0.12281487049529258,0.0001518575070272771,0.13740550010108474,0.00014359004651672995,0.14405756108101622,0.0001255386305629013,0.16419925572989758,0.00010559724306750997,0.1933983736933116,8.829450722454411e-05,0.2379039242124744,5.8958179609210334e-08,0.00548766883113296,-1.7090149958417836e-06,-0.0023898617860430888,-0.0009378414999921114,-2.532448847693251e-06,-0.005052069859195619,-0.006118611878981962,0.012400779205855778,208329.91203955197,785996564.0383401,-14.335999965667725,60.63834011554718
0.06409428665019005,0.04929743407052163,0.03039409807380389,0.026862781033453575,0.021635632196947377,0.019267949586849516,0.014693196669198641,0.010400433693330083,0.007297380009338663,0.02223405080791807,0.0,0.1645890478820555,0.19692798426614638,0.10804579872034707,0.37544093337279894,0.238547868998476,0.05181975215303913,0.31053602752402537,0.00025911967196604307,0.0787882847000723,0.00022725285830215998,0.08992143063238554,0.000178437223572072,0.1152290196061877,0.00016775155547493292,0.1224396742792631,0.0001505493640860406,0.13666398344038158,0.00014207223609026773,0.14366874268661114,0.00012406502700375706,0.16460768476353482,0.00010438334110593357,0.19336702778083292,8.743296928110302e-05,0.23482781808367376,3.727774490949187e-08,0.005423175772980876,2.4958762598447227e-06,1.4093106952660248e-06,-0.002044925079326363,-2.448167366266419e-06,1.5415822807673552e-06,-0.006996008430811349,-3.027364928323218e-06,208977.12491401428,785996565.06234,-13.312000036239624,61.44000005722046
0.06403358078951858,0.049245056420848934,0.03034174649009721,0.02685212375833355,0.02152670650627361,0.01913169638381206,0.014646323789241236,0.010333381521436176,0.007285824240936018,0.001839072837953889,0.0,0.14425980117019424,0.13414241475997943,0.10750129011180437,0.3904536740933515,0.07306135156102098,0.05148368053475844,0.32247382168471345,0.0002589970395416628,0.07885357816107372,0.00022713332021507364,0.08988029387534213,0.0001782835634714945,0.11530999825803513,0.00016771772252434483,0.12228567092537225,0.00015017005490628778,0.13683244895335195,0.00014156875753468023,0.14425284467597912,0.00012386984461945367,0.16428567248142553,0.00010404615050482285,0.19465980373616795,8.736351982759076e-05,0.23487637057275526,-2.326378215511737e-06,0.0063356042796343555,-2.3912588271634953e-06,0.00040160239716344935,-0.0022465223195721083,-3.2955216846037235e-06,-0.005291296947591778,-0.006814586593168555,-2.4275757139880484e-08,208725.16148561004,785996566.0863401,-12.287999987602234,61.44000005722046
0.06395290533855051,0.04914763239694567,0.03036587769863156,0.026785025345161542,0.021514130095081015,0.019124363836757516,0.014628523285106816,0.010314474268100192,0.007257532080708848,0.032945897110583273,0.0,0.15174983454296476,0.13380485494998956,0.10743818257986591,0.35216007279632716,0.07297243839937326,0.05138562677799493,0.42182799867609727,0.0002588338079741467,0.07895898617386486,0.0002269077158279788,0.0899229504359434,0.00017835478622270885,0.11536721304444172,0.0001675078902468771,0.1224814305615124,0.00015012614779506226,0.13693714557199357,0.00014154162715395926,0.14397562674011713,0.00012379468701533531,0.1642654246445207,0.00010394951971654091,0.1952779463792591,8.719368347972947e-05,0.2361108614028896,-5.1449275967313874e-08,0.005738766701476805,-0.0016130774083665032,0.0006019022113352422,-0.0022009819456098494,5.019334221600017e-08,-0.005445343497877664,-0.004943171533504108,-4.839626852395075e-06,208618.12266005934,785996567.11034,-11.264000058174133,61.44000005722046
