time,duration,snr,timeID,dt
785996570.75834,0.256,3.2954824963074287,-76160256,-7.616000056266785
785996570.6943401,0.256,3.135637037958139,-76800256,-7.679999947547913
785996571.59034,0.256,3.300202937766197,-67840256,-6.784000039100647
785996571.65434,0.256,3.227452524024978,-67200256,-6.7200000286102295
785996576.77434,0.256,3.7882687005624307,-16000256,-1.600000023841858
785996576.83834,0.256,3.5966855298445086,-15360256,-1.5360000133514404
785996577.2223401,0.256,3.663882816949006,-11520256,-1.1519999504089355
785996577.1583401,0.256,3.3431585189733726,-12160256,-1.215999960899353
785996576.90234,0.256,3.1489494247229874,-14720256,-1.472000002861023
785996578.24634,0.256,5.05769196165776,-1280256,-0.12800002098083496
785996578.18234,0.256,4.960812416573722,-1920256,-0.19200003147125244
785996578.31034,0.256,4.737872922290835,-640256,-0.06400001049041748
785996578.5023401,0.256,4.932352064166498,1280256,0.12800002098083496
785996579.2703401,0.256,4.433034435262323,8960256,0.8960000276565552
785996578.4383401,0.256,4.41876017029214,640256,0.06400001049041748
785996579.8463401,0.256,7.207026704521116,14720256,1.472000002861023
785996579.78234,0.256,6.072784255898717,14080256,1.4079999923706055
785996580.23034,0.256,6.954677768870752,18560256,1.8559999465942383
785996580.35834,0.256,6.891924710382518,19840256,1.9839999675750732
785996580.29434,0.256,6.8271382580383975,19200256,1.9199999570846558
785996580.48634,0.256,5.386677556006215,21120256,2.111999988555908
785996580.55034,0.256,4.810338155470834,21760256,2.1759999990463257
785996580.6143401,0.256,4.330155472255751,22400256,2.240000009536743
785996581.19034,0.256,3.235454062215768,28160256,2.815999984741211
785996581.12634,0.256,3.0746988125847863,27520256,2.7519999742507935
785996581.25434,0.256,2.947495366877152,28800256,2.8799999952316284
785996583.0463401,0.256,3.1286107706387165,46720256,4.672000050544739
785996583.11034,0.256,2.936929857749459,47360256,4.735999941825867
785996586.5023401,0.256,3.851914006721642,81280256,8.128000020980835
785996586.4383401,0.256,3.247315268394953,80640256,8.064000010490417
785996586.24634,0.256,3.1818852948365803,78720256,7.871999979019165
785996586.5663401,0.256,4.138636751756582,81920256,8.192000031471252
785996586.6303401,0.256,3.694217238031155,82560256,8.25600004196167
785996587.3983401,0.256,3.619721997889653,90240256,9.02400004863739
785996587.4623401,0.256,3.3663182141427774,90880256,9.088000059127808
785996587.9743401,0.256,3.2126875757753934,96000256,9.600000023841858
785996570.4383401,0.512,2.5830467036146874,-79360512,-7.9359999895095825
785996571.3343401,0.512,2.841239579109025,-70400512,-7.039999961853027
785996571.59034,0.512,2.762313915409719,-67840512,-6.784000039100647
785996574.2783401,0.512,3.6157288286585247,-40960512,-4.0959999561309814
785996574.40634,0.512,3.549011234785749,-39680512,-3.968000054359436
785996576.83834,0.512,3.748450771616074,-15360512,-1.5360000133514404
785996576.9663401,0.512,3.5475592773887206,-14080512,-1.4079999923706055
785996577.0943401,0.512,2.8969925316732015,-12800512,-1.2799999713897705
785996578.24634,0.512,7.017007396291976,-1280512,-0.12800002098083496
785996578.11834,0.512,6.384585776666298,-2560512,-0.2560000419616699
785996577.8623401,0.512,5.885279346683565,-5120512,-0.5119999647140503
785996578.5023401,0.512,5.962802262887646,1280512,0.12800002098083496
785996580.29434,0.512,8.17358902557732,19200512,1.9199999570846558
785996580.0383401,0.512,7.764612617088589,16640512,1.6640000343322754
785996580.1663401,0.512,7.721450015533868,17920512,1.7920000553131104
785996580.55034,0.512,6.151014350950406,21760512,2.1759999990463257
785996580.93434,0.512,5.060731132075436,25600512,2.559999942779541
785996580.6783401,0.512,5.027093021050837,23040512,2.3040000200271606
785996582.8543401,0.512,3.1112205448611627,44800512,4.480000019073486
785996582.72634,0.512,3.0224577781468756,43520512,4.351999998092651
785996583.6223401,0.512,2.7366372170640942,52480512,5.2480000257492065
785996586.31034,0.512,4.81665580725857,79360512,7.9359999895095825
785996586.18234,0.512,4.0355768962057015,78080512,7.807999968528748
785996586.5663401,0.512,3.5953800845020494,81920512,8.192000031471252
785996587.4623401,0.512,3.3391024128035345,90880512,9.088000059127808
785996587.3343401,0.512,3.2483316821461212,89600512,8.960000038146973
785996587.71834,0.512,3.231420202626821,93440512,9.343999981880188
785996587.8463401,0.512,3.144202215724005,94720512,9.472000002861023
785996587.9743401,0.512,2.939215620308136,96000512,9.600000023841858
785996569.9263401,1.024,2.974000073399037,-84481024,-8.447999954223633
785996574.02234,1.024,2.695593776616279,-43521024,-4.351999998092651
785996573.76634,1.024,2.599981105942269,-46081024,-4.608000040054321
785996574.2783401,1.024,2.6503167351435457,-40961024,-4.0959999561309814
785996577.8623401,1.024,7.890325585530119,-5121024,-0.5119999647140503
785996578.11834,1.024,7.5501746039245345,-2561024,-0.2560000419616699
785996578.37434,1.024,7.194281517505575,01024,0.0
785996579.65434,1.024,10.001206339406732,12801024,1.2799999713897705
785996579.9103401,1.024,9.880687365628932,15361024,1.5360000133514404
785996580.1663401,1.024,8.896078379845113,17921024,1.7920000553131104
785996580.6783401,1.024,6.0722899159975405,23041024,2.3040000200271606
785996580.93434,1.024,4.694212377883052,25601024,2.559999942779541
785996585.7983401,1.024,4.519208151568986,74241024,7.424000024795532
785996586.05434,1.024,4.245662603894785,76801024,7.679999947547913
785996586.31034,1.024,4.08032239870984,79361024,7.9359999895095825
785996587.3343401,1.024,4.439186561322901,89601024,8.960000038146973
785996587.59034,1.024,4.088756557392613,92161024,9.215999960899353
